Record Date,Country,Currency,Country - Currency Description,Exchange Rate,Effective Date,Source Line Number,Fiscal Year,Fiscal Quarter Number,Calendar Year,Calendar Quarter Number,Calendar Month Number,Calendar Day Number
2019-12-31,Afghanistan,Afghani,Afghanistan-Afghani,77.625,2019-12-31,1,2020,1,2019,4,12,31
2019-12-31,Albania,Lek,Albania-Lek,108.21,2019-12-31,2,2020,1,2019,4,12,31
2019-12-31,Algeria,Dinar,Algeria-Dinar,118.78,2019-12-31,3,2020,1,2019,4,12,31
2019-12-31,Angola,Kwanza,Angola-Kwanza,475.0,2019-12-31,4,2020,1,2019,4,12,31
2019-12-31,Antigua & Barbuda,E. Caribbean Dollar,Antigua & Barbuda-E. Caribbean Dollar,2.7,2019-12-31,5,2020,1,2019,4,12,31
2019-12-31,Argentina,Peso,Argentina-Peso,59.87,2019-12-31,6,2020,1,2019,4,12,31
2019-12-31,Armenia,Dram,Armenia-Dram,475.0,2019-12-31,7,2020,1,2019,4,12,31
2019-12-31,Australia,Dollar,Australia-Dollar,1.425,2019-12-31,8,2020,1,2019,4,12,31
2019-12-31,Austria,Euro,Austria-Euro,0.89,2019-12-31,9,2020,1,2019,4,12,31
2019-12-31,Azerbaijan,Manat,Azerbaijan-Manat,1.7,2019-12-31,10,2020,1,2019,4,12,31
2019-12-31,Bahamas,Dollar,Bahamas-Dollar,1.0,2019-12-31,11,2020,1,2019,4,12,31
2019-12-31,Bahrain,Dinar,Bahrain-Dinar,0.377,2019-12-31,12,2020,1,2019,4,12,31
2019-12-31,Bangladesh,Taka,Bangladesh-Taka,85.0,2019-12-31,13,2020,1,2019,4,12,31
2019-12-31,Barbados,Dollar,Barbados-Dollar,2.02,2019-12-31,14,2020,1,2019,4,12,31
2019-12-31,Belarus,New Ruble,Belarus-New Ruble,2.34,2019-12-31,15,2020,1,2019,4,12,31
2019-12-31,Belgium,Euro,Belgium-Euro,0.89,2019-12-31,16,2020,1,2019,4,12,31
2019-12-31,Belize,Dollar,Belize-Dollar,2.0,2019-12-31,17,2020,1,2019,4,12,31
2019-12-31,Benin,CFA Franc,Benin-CFA Franc,582.0,2019-12-31,18,2020,1,2019,4,12,31
2019-12-31,Bermuda,Dollar,Bermuda-Dollar,1.0,2019-12-31,19,2020,1,2019,4,12,31
2019-12-31,Bolivia,Boliviano,Bolivia-Boliviano,6.83,2019-12-31,20,2020,1,2019,4,12,31
2019-12-31,Bosnia,Marka,Bosnia-Marka,1.741,2019-12-31,21,2020,1,2019,4,12,31
2019-12-31,Botswana,Pula,Botswana-Pula,10.549,2019-12-31,22,2020,1,2019,4,12,31
2019-12-31,Brazil,Real,Brazil-Real,4.475,2019-12-31,23,2020,1,2019,4,12,31
2019-12-31,Brunei,Dollar,Brunei-Dollar,1.345,2019-12-31,24,2020,1,2019,4,12,31
2019-12-31,Bulgaria,Lev New,Bulgaria-Lev New,1.741,2019-12-31,25,2020,1,2019,4,12,31
