"COU","Country","CENTGOV_RATES","Central government personal income tax rates and thresholds","YEA","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"BEL","Belgium","PERS_ALL_AMNT","Personal allowance","2000","2000",,,"0","Units",,,5206,,
"BEL","Belgium","PERS_ALL_AMNT","Personal allowance","2001","2001",,,"0","Units",,,5350,,
"BEL","Belgium","PERS_ALL_AMNT","Personal allowance","2002","2002",,,"0","Units",,,5480,,
"BEL","Belgium","PERS_ALL_AMNT","Personal allowance","2003","2003",,,"0","Units",,,5570,,
"BEL","Belgium","PERS_ALL_AMNT","Personal allowance","2004","2004",,,"0","Units",,,5660,,
"BEL","Belgium","PERS_ALL_AMNT","Personal allowance","2005","2005",,,"0","Units",,,5780,,
"BEL","Belgium","PERS_ALL_AMNT","Personal allowance","2006","2006",,,"0","Units",,,5780,,
"BEL","Belgium","PERS_ALL_AMNT","Personal allowance","2007","2007",,,"0","Units",,,6040,,
"BEL","Belgium","PERS_ALL_AMNT","Personal allowance","2008","2008",,,"0","Units",,,6400,,
"BEL","Belgium","PERS_ALL_AMNT","Personal allowance","2009","2009",,,"0","Units",,,6430,,
"BEL","Belgium","PERS_ALL_AMNT","Personal allowance","2010","2010",,,"0","Units",,,6430,,
"BEL","Belgium","PERS_ALL_AMNT","Personal allowance","2011","2011",,,"0","Units",,,6570,,
"BEL","Belgium","PERS_ALL_AMNT","Personal allowance","2012","2012",,,"0","Units",,,6800,,
"BEL","Belgium","PERS_ALL_AMNT","Personal allowance","2013","2013",,,"0","Units",,,6990,,
"BEL","Belgium","PERS_ALL_AMNT","Personal allowance","2014","2014",,,"0","Units",,,7070,,
"BEL","Belgium","PERS_ALL_AMNT","Personal allowance","2015","2015",,,"0","Units",,,7090,,
"BEL","Belgium","PERS_ALL_AMNT","Personal allowance","2016","2016",,,"0","Units",,,7130,,
"BEL","Belgium","PERS_ALL_AMNT","Personal allowance","2017","2017",,,"0","Units",,,7270,,
"BEL","Belgium","PERS_ALL_AMNT","Personal allowance","2018","2018",,,"0","Units",,,7430,,
"BEL","Belgium","PERS_ALL_AMNT","Personal allowance","2019","2019",,,"0","Units",,,8860,,
"BEL","Belgium","PERS_ALL_AMNT","Personal allowance","2020","2020",,,"0","Units",,,8890,,
"BEL","Belgium","PERS_ALL_AMNT","Personal allowance","2021","2021",,,"0","Units",,,9050,,
"BEL","Belgium","PERS_ALL_AMNT","Personal allowance","2022","2022",,,"0","Units",,,9270,,
"CZE","Czech Republic","PERS_ALL_AMNT","Personal allowance","2000","2000",,,"0","Units",,,34920,,
"CZE","Czech Republic","PERS_ALL_AMNT","Personal allowance","2001","2001",,,"0","Units",,,38040,,
"CZE","Czech Republic","PERS_ALL_AMNT","Personal allowance","2002","2002",,,"0","Units",,,38040,,
