"COU","Country","CENTGOV_RATES","Central government tax rates and thresholds","LEVEL_GOV","Level of government","TAX_BASE","Tax base","YEA","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"JPN","Japan","PERS_ALL_AMNT","Personal allowance","L","L","TY","TY","2000","2000",,,"0","Units",,,330,,
"JPN","Japan","PERS_ALL_AMNT","Personal allowance","L","L","TY","TY","2001","2001",,,"0","Units",,,330,,
"JPN","Japan","PERS_ALL_AMNT","Personal allowance","L","L","TY","TY","2002","2002",,,"0","Units",,,330,,
"JPN","Japan","PERS_ALL_AMNT","Personal allowance","L","L","TY","TY","2003","2003",,,"0","Units",,,330,,
"JPN","Japan","PERS_ALL_AMNT","Personal allowance","L","L","TY","TY","2004","2004",,,"0","Units",,,330,,
"JPN","Japan","PERS_ALL_AMNT","Personal allowance","L","L","TY","TY","2005","2005",,,"0","Units",,,330,,
"JPN","Japan","PERS_ALL_AMNT","Personal allowance","L","L","TY","TY","2006","2006",,,"0","Units",,,330,,
"JPN","Japan","LUMP_SUM_TAX","Lump sum tax","L","L","TY","TY","2000","2000","NATCUR","National currency","0","Units",,,4,,
"JPN","Japan","LUMP_SUM_TAX","Lump sum tax","L","L","TY","TY","2001","2001","NATCUR","National currency","0","Units",,,4,,
"JPN","Japan","LUMP_SUM_TAX","Lump sum tax","L","L","TY","TY","2002","2002","NATCUR","National currency","0","Units",,,4,,
"JPN","Japan","LUMP_SUM_TAX","Lump sum tax","L","L","TY","TY","2003","2003","NATCUR","National currency","0","Units",,,4,,
"JPN","Japan","LUMP_SUM_TAX","Lump sum tax","L","L","TY","TY","2004","2004","NATCUR","National currency","0","Units",,,4,,
"JPN","Japan","LUMP_SUM_TAX","Lump sum tax","L","L","TY","TY","2005","2005","NATCUR","National currency","0","Units",,,4,,
"JPN","Japan","LUMP_SUM_TAX","Lump sum tax","L","L","TY","TY","2006","2006","NATCUR","National currency","0","Units",,,4,,
"CHE","Switzerland","LUMP_SUM_TAX","Lump sum tax","S","S","TYS","TYs","2000","2000","NATCUR","National currency","0","Units",,,24,,
"CHE","Switzerland","LUMP_SUM_TAX","Lump sum tax","S","S","TYS","TYs","2001","2001","NATCUR","National currency","0","Units",,,24,,
"CHE","Switzerland","LUMP_SUM_TAX","Lump sum tax","S","S","TYS","TYs","2002","2002","NATCUR","National currency","0","Units",,,24,,
"CHE","Switzerland","LUMP_SUM_TAX","Lump sum tax","S","S","TYS","TYs","2003","2003","NATCUR","National currency","0","Units",,,24,,
"CHE","Switzerland","LUMP_SUM_TAX","Lump sum tax","S","S","TYS","TYs","2004","2004","NATCUR","National currency","0","Units",,,24,,
"CHE","Switzerland","LUMP_SUM_TAX","Lump sum tax","S","S","TYS","TYs","2005","2005","NATCUR","National currency","0","Units",,,24,,
"CHE","Switzerland","LUMP_SUM_TAX","Lump sum tax","S","S","TYS","TYs","2006","2006","NATCUR","National currency","0","Units",,,24,,
"CHE","Switzerland","LUMP_SUM_TAX","Lump sum tax","S","S","TYS","TYs","2007","2007","NATCUR","National currency","0","Units",,,24,,
"CHE","Switzerland","LUMP_SUM_TAX","Lump sum tax","S","S","TYS","TYs","2008","2008","NATCUR","National currency","0","Units",,,24,,
"CHE","Switzerland","LUMP_SUM_TAX","Lump sum tax","S","S","TYS","TYs","2009","2009","NATCUR","National currency","0","Units",,,24,,
"CHE","Switzerland","LUMP_SUM_TAX","Lump sum tax","S","S","TYS","TYs","2010","2010","NATCUR","National currency","0","Units",,,24,,
"CHE","Switzerland","LUMP_SUM_TAX","Lump sum tax","S","S","TYS","TYs","2011","2011","NATCUR","National currency","0","Units",,,24,,
"CHE","Switzerland","LUMP_SUM_TAX","Lump sum tax","S","S","TYS","TYs","2012","2012","NATCUR","National currency","0","Units",,,24,,
"CHE","Switzerland","LUMP_SUM_TAX","Lump sum tax","S","S","TYS","TYs","2013","2013","NATCUR","National currency","0","Units",,,24,,
"CHE","Switzerland","LUMP_SUM_TAX","Lump sum tax","S","S","TYS","TYs","2014","2014","NATCUR","National currency","0","Units",,,24,,
"CHE","Switzerland","LUMP_SUM_TAX","Lump sum tax","S","S","TYS","TYs","2015","2015","NATCUR","National currency","0","Units",,,24,,
"CHE","Switzerland","LUMP_SUM_TAX","Lump sum tax","S","S","TYS","TYs","2016","2016","NATCUR","National currency","0","Units",,,24,,
"CHE","Switzerland","LUMP_SUM_TAX","Lump sum tax","S","S","TYS","TYs","2017","2017","NATCUR","National currency","0","Units",,,24,,
"CHE","Switzerland","LUMP_SUM_TAX","Lump sum tax","S","S","TYS","TYs","2018","2018","NATCUR","National currency","0","Units",,,24,,
"CHE","Switzerland","LUMP_SUM_TAX","Lump sum tax","S","S","TYS","TYs","2019","2019","NATCUR","National currency","0","Units",,,24,,
"CHE","Switzerland","LUMP_SUM_TAX","Lump sum tax","S","S","TYS","TYs","2020","2020","NATCUR","National currency","0","Units",,,24,,
"CHE","Switzerland","LUMP_SUM_TAX","Lump sum tax","S","S","TYS","TYs","2021","2021","NATCUR","National currency","0","Units",,,24,,
"CHE","Switzerland","LUMP_SUM_TAX","Lump sum tax","S","S","TYS","TYs","2022","2022","NATCUR","National currency","0","Units",,,24,,
"BEL","Belgium","SURTAX_RATE","Surtax rate ","L","L","CTG","CTg","2000","2000","PC","Percentage","0","Units",,,7,,
"BEL","Belgium","SURTAX_RATE","Surtax rate ","L","L","CTG","CTg","2001","2001","PC","Percentage","0","Units",,,7,,
"BEL","Belgium","SURTAX_RATE","Surtax rate ","L","L","CTG","CTg","2002","2002","PC","Percentage","0","Units",,,7,,
"BEL","Belgium","SURTAX_RATE","Surtax rate ","L","L","CTG","CTg","2003","2003","PC","Percentage","0","Units",,,7,,
"BEL","Belgium","SURTAX_RATE","Surtax rate ","L","L","CTG","CTg","2004","2004","PC","Percentage","0","Units",,,7,,
"BEL","Belgium","SURTAX_RATE","Surtax rate ","L","L","CTG","CTg","2005","2005","PC","Percentage","0","Units",,,7,,
"BEL","Belgium","SURTAX_RATE","Surtax rate ","L","L","CTG","CTg","2006","2006","PC","Percentage","0","Units",,,7,,
"BEL","Belgium","SURTAX_RATE","Surtax rate ","L","L","CTG","CTg","2007","2007","PC","Percentage","0","Units",,,7.4,,
"BEL","Belgium","SURTAX_RATE","Surtax rate ","L","L","CTG","CTg","2008","2008","PC","Percentage","0","Units",,,7.4,,
"BEL","Belgium","SURTAX_RATE","Surtax rate ","L","L","CTG","CTg","2009","2009","PC","Percentage","0","Units",,,7.4,,
"BEL","Belgium","SURTAX_RATE","Surtax rate ","L","L","CTG","CTg","2010","2010","PC","Percentage","0","Units",,,7.4,,
"BEL","Belgium","SURTAX_RATE","Surtax rate ","L","L","CTG","CTg","2011","2011","PC","Percentage","0","Units",,,7.4,,
"BEL","Belgium","SURTAX_RATE","Surtax rate ","L","L","CTG","CTg","2012","2012","PC","Percentage","0","Units",,,7.4,,
"BEL","Belgium","SURTAX_RATE","Surtax rate ","L","L","CTG","CTg","2013","2013","PC","Percentage","0","Units",,,7.4,,
"BEL","Belgium","SURTAX_RATE","Surtax rate ","L","L","CTG","CTg","2014","2014","PC","Percentage","0","Units",,,7.5,,
"BEL","Belgium","SURTAX_RATE","Surtax rate ","L","L","CTG","CTg","2015","2015","PC","Percentage","0","Units",,,7.6,,
