"Country","Schedule","Tax Base","Rates and thresholds","Year","Unit","PowerCode","Reference Period","Value","Flags"
"Austria","1","Monthly gross earnings","01 Marginal rate","2000",,"Units",,18.057143,
"Austria","1","Monthly gross earnings","01 Marginal rate","2001",,"Units",,18.057143,
"Austria","1","Monthly gross earnings","01 Marginal rate","2002",,"Units",,18.057143,
"Austria","1","Monthly gross earnings","01 Marginal rate","2003",,"Units",,18.057143,
"Austria","1","Monthly gross earnings","01 Marginal rate","2004",,"Units",,18.007143,
"Austria","1","Monthly gross earnings","01 Marginal rate","2005",,"Units",,18.057143,
"Austria","1","Monthly gross earnings","01 Marginal rate","2006",,"Units",,18.057143,
"Austria","1","Monthly gross earnings","01 Marginal rate","2007",,"Units",,18.057143,
"Austria","1","Monthly gross earnings","01 Marginal rate","2008",,"Units",,18.057143,
"Austria","1","Monthly gross earnings","01 Marginal rate","2009",,"Units",,0,
"Austria","1","Monthly gross earnings","01 Marginal rate","2010",,"Units",,0,
"Austria","1","Monthly gross earnings","01 Marginal rate","2011",,"Units",,0,
"Austria","1","Monthly gross earnings","01 Marginal rate","2012",,"Units",,0,
"Austria","1","Monthly gross earnings","01 Marginal rate","2013",,"Units",,0,
"Austria","1","Monthly gross earnings","01 Marginal rate","2014",,"Units",,0,
"Austria","1","Monthly gross earnings","01 Marginal rate","2015",,"Units",,0,
"Austria","1","Monthly gross earnings","01 Marginal rate","2016",,"Units",,0,
"Austria","1","Monthly gross earnings","01 Marginal rate","2017",,"Units",,0,
"Austria","1","Monthly gross earnings","01 Marginal rate","2018",,"Units",,0,
"Austria","1","Monthly gross earnings","01 Marginal rate","2019",,"Units",,0,
"Austria","1","Monthly gross earnings","01 Marginal rate","2020",,"Units",,0,
"Austria","1","Monthly gross earnings","01 Marginal rate","2021",,"Units",,0,
"Austria","1","Monthly gross earnings","01 Marginal rate","2022",,"Units",,0,
"Austria","1","Monthly gross earnings","01 Lower threshold","2000",,"Units",,4046.28,
"Austria","1","Monthly gross earnings","01 Lower threshold","2001",,"Units",,4146.94,
"Austria","1","Monthly gross earnings","01 Lower threshold","2002",,"Units",,4221.56,
"Austria","1","Monthly gross earnings","01 Lower threshold","2003",,"Units",,4331.32,
"Austria","1","Monthly gross earnings","01 Lower threshold","2004",,"Units",,4426.66,
"Austria","1","Monthly gross earnings","01 Lower threshold","2005",,"Units",,4528.44,
"Austria","1","Monthly gross earnings","01 Lower threshold","2006",,"Units",,4664.24,
"Austria","1","Monthly gross earnings","01 Lower threshold","2007",,"Units",,4776.24,
"Austria","1","Monthly gross earnings","01 Lower threshold","2008",,"Units",,4886.14,
"Austria","1","Monthly gross earnings","01 Lower threshold","2009",,"Units",,0,
"Austria","1","Monthly gross earnings","01 Lower threshold","2010",,"Units",,0,
"Austria","1","Monthly gross earnings","01 Lower threshold","2011",,"Units",,0,
"Austria","1","Monthly gross earnings","01 Lower threshold","2012",,"Units",,0,
"Austria","1","Monthly gross earnings","01 Lower threshold","2013",,"Units",,0,
"Austria","1","Monthly gross earnings","01 Lower threshold","2014",,"Units",,0,
"Austria","1","Monthly gross earnings","01 Lower threshold","2015",,"Units",,0,
"Austria","1","Monthly gross earnings","01 Lower threshold","2016",,"Units",,0,
"Austria","1","Monthly gross earnings","01 Lower threshold","2017",,"Units",,0,
"Austria","1","Monthly gross earnings","01 Lower threshold","2018",,"Units",,0,
"Austria","1","Monthly gross earnings","01 Lower threshold","2019",,"Units",,0,
"Austria","1","Monthly gross earnings","01 Lower threshold","2020",,"Units",,0,
"Austria","1","Monthly gross earnings","01 Lower threshold","2021",,"Units",,0,
"Austria","1","Monthly gross earnings","01 Lower threshold","2022",,"Units",,0,
"Austria","1","Monthly gross earnings","01 Upper threshold","2000",,"Units",,43953,
"Austria","1","Monthly gross earnings","01 Upper threshold","2001",,"Units",,45173.8,
