"ISO";"COUNTRY";"YEAR";"GINI INDEX";"M-THEIL, GE(0)";"DECILE 1 (MEAN INCOME)";"DECILE 2 (MEAN INCOME)";"DECILE 3 (MEAN INCOME)";"DECILE 4 (MEAN INCOME)";"DECILE 5 (MEAN INCOME)";"DECILE 6 (MEAN INCOME)";"DECILE 7 (MEAN INCOME)";"DECILE 8 (MEAN INCOME)";"DECILE 9 (MEAN INCOME)";"DECILE 10 (MEAN INCOME)"
"ABW";"Aruba";"2019";"48.39";"41.63";"5454.43";"10914.14";"14617.7";"18191.07";"22390.68";"27254.43";"33465.66";"42930.22";"60561.31";"144042.26"
"AFG";"Afghanistan";"2019";"45.125";"34.745";"397.16";"688.83";"883.27";"1059.1";"1234.93";"1464.54";"1863.77";"2411.93";"3427.59";"7219.25"
"AGO";"Angola";"2019";"62.42";"86.832";"166.32";"784.51";"1422.75";"2047.7";"2872.1";"3769.63";"5032.82";"6960.85";"10378.12";"33268.5"
"AIA";"Anguilla";"2019";"48.39";"41.63";"3765.83";"7535.3";"10092.3";"12559.42";"15458.9";"18816.91";"23105.25";"29639.74";"41812.54";"99449.18"
"ALB";"Albania";"2019";"35.634";"23.026";"2878.66";"5375.33";"7217.12";"8867.92";"10546.01";"12428.73";"14638.89";"17422.06";"21965.16";"35226.11"
"AND";"Andorra";"2019";"31.078";"15.686";"16093.34";"22760.59";"27266.72";"31405.01";"35635.26";"40647.19";"47038.54";"56096.8";"69707.17";"113527.04"
"ARE";"United Arab Emirates";"2019";"25.96";"11.001";"27173.83";"35773.09";"43210.36";"50651.01";"58432.97";"66761.03";"76044.78";"86966.83";"101370.28";"136252.58"
"ARG";"Argentina";"2019";"39.882";"27.001";"4852.07";"8598.33";"10580.97";"12564.9";"14989.7";"17855.38";"21382.37";"27113.73";"35710.77";"67012.8"
"ARM";"Armenia";"2019";"32.902";"18.152";"4042.41";"6262.31";"7742.25";"9235.89";"10756.93";"12223.16";"14073.08";"16457.42";"20307.99";"35436.2"
"ATG";"Antigua and Barbuda";"2019";"48.39";"41.63";"3137.79";"6278.61";"8409.17";"10464.84";"12880.76";"15678.74";"19251.9";"24696.6";"34839.3";"82863.64"
"AUS";"Australia";"2019";"34.337";"20.437";"12978.39";"22586.11";"27760.26";"32197.96";"37227.35";"43489.44";"50639.06";"60007.53";"74651.94";"131553.08"
"AUT";"Austria";"2019";"30.978";"16.698";"16482.83";"27472.79";"33108.36";"39138.21";"45056.4";"51867.9";"59461.05";"68840.82";"82407.99";"134499.23"
"AZE";"Azerbaijan";"2019";"19.21";"5.871";"8030.02";"9820.13";"10859.19";"11768.94";"12750.89";"13790.6";"15003.59";"16592.04";"19061.35";"26743.65"
"BDI";"Burundi";"2019";"53.377";"50.165";"102.27";"175.96";"245.89";"315.83";"387.26";"477.5";"609.09";"805.35";"1155.02";"3242.47"
"BEL";"Belgium";"2019";"27.106";"12.562";"18190.97";"27744.08";"34649.31";"39688.31";"44623.38";"48935.12";"54597.47";"62285.76";"74493.51";"114233.76"
"BEN";"Benin";"2019";"52.989";"49.472";"445.52";"795.34";"1095.66";"1372.87";"1732.59";"2135.22";"2673.15";"3511.39";"5055.88";"14055.47"
"BFA";"Burkina Faso";"2019";"74.244";"119.389";"106.71";"141.56";"198.12";"296.04";"426.6";"635.48";"1051.04";"1869.08";"3576.96";"13453.47"
"BGD";"Bangladesh";"2019";"48.596";"44.168";"571.19";"1380.38";"1880.17";"2356.16";"2874.99";"3465.22";"4245.84";"5250.19";"7106.55";"18406.59"
"BGR";"Bulgaria";"2019";"41.159";"29.993";"4401.21";"8795.94";"11469.79";"13656.73";"15959.99";"18775.1";"22055.5";"26801.62";"34758.35";"75984.46"
"BHR";"Bahrain";"2019";"34.591";"20.317";"12201.5";"18356.91";"23787.46";"29282.95";"35043.14";"41330.32";"48415.2";"57348.23";"71245.87";"116107.05"
"BHS";"Bahamas, The";"2019";"50.056";"46.913";"4050.08";"8866.4";"12661.08";"16419.26";"21162.6";"26745.15";"33604.76";"42544.13";"58489.06";"139782.65"
"BIH";"Bosnia and Herzegovina";"2019";"35.077";"22.536";"3125.83";"6102.8";"8097.38";"9838.91";"11625.09";"13575.01";"15956.59";"18888.91";"23473.46";"38283.92"
"BLR";"Belarus";"2019";"29.621";"14.604";"6379.22";"9753.03";"11730.79";"13669.76";"15686.29";"17916.11";"20398.0";"23674.86";"28948.87";"44635.16"
"BLZ";"Belize";"2019";"53.084";"52.646";"674.97";"1653.83";"2465.61";"3111.02";"3872.45";"4829.69";"6135.01";"7940.71";"11058.98";"30776.59"
"BMU";"Bermuda";"2019";"40.459";"29.493";"15091.21";"28958.1";"38246.7";"47578.72";"57416.55";"68791.92";"82661.38";"101352.03";"130973.95";"246972.09"
"BOL";"Bolivia";"2019";"42.778";"33.228";"1313.48";"2800.78";"3850.25";"4812.82";"5862.89";"7087.97";"8663.07";"10938.22";"14438.45";"27476.81"
"BRA";"Brazil";"2019";"51.254";"55.639";"976.72";"3078.83";"5232.36";"6601.63";"8828.68";"11319.43";"12760.5";"17436.02";"23931.66";"57472.89"
"BRB";"Barbados";"2019";"56.316";"66.684";"796.84";"2984.07";"4608.91";"6171.25";"7858.58";"9998.99";"12701.84";"17060.77";"24388.16";"69821.06"
"BRN";"Brunei";"2019";"28.074";"12.854";"23536.6";"32067.06";"38542.73";"44520.28";"51494.09";"58281.1";"65753.03";"76026.94";"93025.6";"137732.68"
"BTN";"Bhutan";"2019";"50.366";"47.804";"1294.94";"2910.65";"4003.63";"5239.17";"6629.16";"8363.67";"10799.11";"14351.29";"20517.12";"44538.91"
"BWA";"Botswana";"2019";"57.891";"61.011";"1866.92";"3023.41";"3998.18";"5253.8";"6938.98";"9351.1";"12704.94";"18404.82";"28681.12";"73255.82"
"CAF";"Central African Republic";"2019";"65.642";"96.125";"20.62";"88.85";"180.5";"271.21";"355.39";"470.42";"644.37";"905.3";"1389.74";"5125.03"
"CAN";"Canada";"2019";"32.534";"18.328";"13484.57";"22494.54";"28322.33";"33516.39";"38661.45";"44639.52";"51891.61";"60711.71";"74627.87";"121717.43"
"CHE";"Switzerland";"2019";"33.362";"18.869";"20587.73";"32286.4";"39873.79";"47252.56";"55340.84";"63571.02";"73007.34";"86487.8";"106637.54";"184398.52"
"CHL";"Chile";"2019";"49.735";"44.523";"3272.25";"7178.96";"9488.69";"11657.81";"14218.58";"17253.05";"21117.91";"27329.16";"39377.17";"98782.23"
"CHN";"China";"2019";"43.49";"33.97";"2635.37";"4893.0";"6481.6";"8361.32";"10233.66";"12917.46";"16261.23";"20742.2";"27370.81";"49879.81"
"CIV";"Cote d'Ivoire";"2019";"56.309";"57.049";"594.59";"1053.15";"1501.2";"1944.26";"2569.76";"3205.69";"4050.11";"5426.21";"8074.16";"23706.41"
"CMR";"Cameroon";"2019";"59.44";"75.168";"160.98";"542.82";"890.98";"1265.34";"1748.26";"2294.83";"3009.86";"4050.58";"6042.18";"17422.74"
"COD";"Congo, Democratic Republic of the";"2019";"56.008";"59.461";"92.22";"203.1";"312.88";"429.26";"535.75";"688.35";"906.82";"1224.09";"1770.81";"4816.22"
